name,stint 1,stint 2,stint 3,stint 4 ,stint 5,stint 6,raceId
Heikki Kovalainen,Soft,Soft,Medium,,,,853
Timo Glock,Soft,Soft,Medium,,,,853
Jerome d Ambrosio,Soft,,,,,,853
Daniel Ricciardo,Soft,Soft,Medium,,,,853
Vitantonio Liuzzi,Soft,,,,,,853
Sebastian Vettel,Super soft,Soft,Soft,Super soft,,,854
Mark Webber,Super soft,Soft,Soft,Super soft,,,854
Jenson Button,Super soft,Soft,Soft,Super soft,,,854
Lewis Hamilton,Super soft,Super soft,Soft,Super soft,Soft,,854
Fernando Alonso,Super soft,Soft,Soft,Super soft,,,854
Felipe Massa,Super soft,Soft,Soft,Super soft,Soft,,854
Nico Rosberg,Super soft,Super soft,Super soft,Soft,,,854
Michael Schumacher,Super soft,Super soft,Super soft,,,,854
Adrian Sutil,Super soft,Soft,Soft,,,,854
Paul di Resta,Soft,Super soft,Soft,,,,854
Sergio Perez,Super soft,Soft,Soft,,,,854
Rubens Barrichello,Super soft,Soft,Soft,,,,854
Pastor Maldonado,Super soft,Soft,Super soft,Soft,,,854
Sebastien Buemi,Super soft,Soft,Soft,Super soft,,,854
Bruno Senna,Super soft,Soft,Soft,Super soft,Super soft,,854
Jaime Alguersuari,Soft,Soft,Super soft,,,,854
Kamui Kobayashi,Soft,Soft,Super soft,Super soft,,,854
Vitaly Petrov,Soft,Soft,Super soft,Super soft,,,854
Heikki Kovalainen,Super soft,Soft,Soft,Soft,,,854
Jarno Trulli,Super soft,Soft,Soft,Soft,,,854
Timo Glock,Soft,,,,,,854
Jerome d Ambrosio,Soft,Super soft,Soft,,,,854
Daniel Ricciardo,Super soft,Super soft,Super soft,Soft,,,854
Vitantonio Liuzzi,Soft,Super soft,Super soft,Super soft,Soft,,854
Sebastian Vettel,Soft,Soft,Soft,Medium,,,855
Jenson Button,Soft,Soft,Soft,Medium,,,855
Lewis Hamilton,Soft,Soft,Soft,Medium,,,855
Felipe Massa,Soft,Soft,Soft,Medium,,,855
Fernando Alonso,Soft,Soft,Soft,Medium,,,855
Mark Webber,Soft,Soft,Soft,Medium,,,855
Kamui Kobayashi,Soft,Soft,Medium,,,,855
Michael Schumacher,Soft,Soft,Soft,Medium,,,855
Bruno Senna,Medium,Medium,Soft,,,,855
Vitaly Petrov,Medium,Medium,Soft,,,,855
Adrian Sutil,Soft,Soft,Soft,Medium,,,855
Paul di Resta,Soft,Soft,Soft,Medium,,,855
Rubens Barrichello,Soft,Soft,Soft,Medium,,,855
Pastor Maldonado,Medium,Medium,Soft,Soft,,,855
Sebastien Buemi,Soft,Soft,,,,,855
Jaime Alguersuari,Medium,Soft,Soft,,,,855
Sergio Perez,Medium,Soft,Soft,,,,855
Heikki Kovalainen,Soft,Soft,Soft,Medium,,,855
Jarno Trulli,Soft,Soft,Soft,Medium,,,855
Jerome d Ambrosio,Soft,Soft,Soft,Medium,,,855
Timo Glock,Soft,Soft,Soft,Medium,,,855
Daniel Ricciardo,Soft,Soft,Soft,Medium,,,855
Nico Rosberg,Medium,Soft,Soft,Soft,,,855
Vitantonio Liuzzi,Soft,Medium,Soft,Soft,,,855
Lewis Hamilton,Super soft,Super soft,Soft,,,,856
Sebastian Vettel,Super soft,Super soft,Soft,,,,856
Jenson Button,Super soft,Super soft,Soft,,,,856
Mark Webber,Super soft,Soft,Soft,,,,856
Felipe Massa,Super soft,Soft,Soft,,,,856
Fernando Alonso,Super soft,Soft,Soft,,,,856
Nico Rosberg,Super soft,Soft,Soft,,,,856
Vitaly Petrov,Super soft,Super soft,,,,,856
Paul di Resta,Super soft,Super soft,Soft,,,,856
Adrian Sutil,Soft,Super soft,Soft,,,,856
Jaime Alguersuari,Super soft,Super soft,Soft,,,,856
Michael Schumacher,Super soft,Soft,,,,,856
Sebastien Buemi,Super soft,Soft,Super soft,,,,856
Kamui Kobayashi,Soft,Super soft,Super soft,Super soft,,,856
Bruno Senna,Soft,Soft,Super soft,,,,856
Pastor Maldonado,Soft,Soft,Soft,,,,856
Sergio Perez,Soft,Super soft,Super soft,Super soft,,,856
Rubens Barrichello,Super soft,Soft,Soft,,,,856
Heikki Kovalainen,Super soft,Soft,Soft,,,,856
Jarno Trulli,Super soft,Soft,Soft,,,,856
Timo Glock,Soft,Soft,Super soft,,,,856
Jerome d Ambrosio,Soft,Soft,Super soft,,,,856
Vitantonio Liuzzi,Soft,Soft,Soft,Super soft,,,856
Daniel Ricciardo,Soft,Soft,Super soft,,,,856
Sebastian Vettel,Soft,Soft,Hard,,,,857
Mark Webber,Soft,Soft,Hard,,,,857
Fernando Alonso,Soft,Soft,Hard,,,,857
Jenson Button,Soft,Soft,Hard,,,,857
Lewis Hamilton,Soft,Soft,Soft,Hard,,,857
Felipe Massa,Soft,Soft,Hard,,,,857
Nico Rosberg,Soft,Soft,Hard,,,,857
Adrian Sutil,Soft,Soft,Hard,,,,857
Sebastien Buemi,Soft,Soft,,,,,857
Jaime Alguersuari,Soft,Soft,Hard,,,,857
Michael Schumacher,Soft,Soft,Hard,,,,857
Paul di Resta,Hard,Soft,Soft,Soft,,,857
Pastor Maldonado,Soft,,,,,,857
Bruno Senna,Soft,Soft,Hard,,,,857
Rubens Barrichello,Soft,Hard,Soft,,,,857
Vitaly Petrov,Hard,Soft,Soft,,,,857
Kamui Kobayashi,Soft,,,,,,857
Heikki Kovalainen,Soft,Soft,Hard,,,,857
Jarno Trulli,Soft,Soft,Soft,Hard,,,857
Sergio Perez,Hard,Soft,Soft,,,,857
Jerome d Ambrosio,Soft,Soft,Hard,,,,857
Timo Glock,Soft,Soft,,,,,857
Daniel Ricciardo,Soft,Soft,Soft,Hard,,,857
Narain Karthikeyan,Soft,Soft,Hard,,,,857
Sebastian Vettel,Soft,,,,,,858
Lewis Hamilton,Soft,Soft,Medium,,,,858
Jenson Button,Soft,Soft,Medium,,,,858
Mark Webber,Soft,Soft,Soft,Medium,,,858
Fernando Alonso,Soft,Soft,Medium,,,,858
Felipe Massa,Soft,Soft,Medium,,,,858
Nico Rosberg,Soft,Soft,Medium,,,,858
Michael Schumacher,Soft,Soft,Medium,,,,858
Adrian Sutil,Soft,Soft,Medium,,,,858
Paul di Resta,Medium,Soft,,,,,858
Sergio Perez,Soft,Medium,Soft,,,,858
Vitaly Petrov,Soft,Medium,Soft,,,,858
Sebastien Buemi,Soft,,,,,,858
Bruno Senna,Medium,Soft,Soft,,,,858
Jaime Alguersuari,Soft,Medium,Soft,,,,858
Kamui Kobayashi,Medium,Soft,Soft,,,,858
Heikki Kovalainen,Soft,Soft,Medium,,,,858
Jarno Trulli,Soft,Soft,Medium,,,,858
Timo Glock,Soft,Soft,Medium,,,,858
Daniel Ricciardo,Soft,Soft,Medium,,,,858
Jerome d Ambrosio,Soft,,,,,,858
Vitantonio Liuzzi,Soft,Medium,,,,,858
Rubens Barrichello,Medium,Soft,Soft,,,,858
Pastor Maldonado,Medium,Soft,,,,,858
Sebastian Vettel,Soft,Soft,Soft,Medium,,,859
Mark Webber,Soft,Soft,Soft,Medium,,,859
Jenson Button,Soft,Soft,Medium,Medium,,,859
Lewis Hamilton,Soft,Soft,Soft,Medium,,,859
Fernando Alonso,Soft,Soft,Soft,Medium,,,859
Nico Rosberg,Soft,Soft,Medium,,,,859
Felipe Massa,Soft,Soft,Medium,,,,859
Adrian Sutil,Soft,Soft,Soft,Medium,,,859
Bruno Senna,Soft,Soft,Medium,Soft,,,859
Michael Schumacher,Soft,Soft,Soft,Medium,,,859
Paul di Resta,Soft,Soft,Medium,,,,859
Rubens Barrichello,Soft,Soft,Medium,Soft,,,859
Jaime Alguersuari,Soft,Soft,Medium,,,,859
Sebastien Buemi,Soft,Soft,Medium,,,,859
Vitaly Petrov,Soft,Soft,Soft,Medium,,,859
Kamui Kobayashi,Soft,Soft,Medium,,,,859
Sergio Perez,Soft,Soft,Medium,,,,859
Pastor Maldonado,Soft,Medium,,,,,859
Heikki Kovalainen,Soft,Soft,Soft,Medium,,,859
Jarno Trulli,Soft,Soft,Medium,,,,859
Vitantonio Liuzzi,Soft,Soft,Medium,,,,859
Daniel Ricciardo,Soft,Soft,Medium,,,,859
Jerome d Ambrosio,Soft,Soft,Medium,,,,859
Timo Glock,Soft,Soft,,,,,859
Lewis Hamilton,Medium (10),Intermediate (8),Hard (36),,,,879
Jenson Button,Medium (23),Hard (34),Intermediate (14),,,,879
Mark Webber,Medium (9),Intermediate (10),Hard (36),Intermediate (16),,,879
Sebastian Vettel,Medium (10),Intermediate (9),Hard (33),Medium (2),Intermediate (17),,879
Felipe Massa,Medium (15),Intermediate (4),Medium (36),Intermediate (16),,,879
Nico Hulkenberg,Medium (23),Hard (34),Intermediate (14),,,,879
Fernando Alonso,Medium (10),Intermediate (8),Medium (38),Intermediate (15),,,879
Kimi Raikkonen,Medium (5),Intermediate (14),Medium (34),Intermediate (17),,,879
Nico Rosberg,Medium (9),Intermediate (9),Hard (2),Hard (30),Intermediate (20),,879
Paul di Resta,Medium (10),Intermediate (8),Hard (39),Intermediate (11),,,879
Bruno Senna,Medium,,,,,,879
Sergio Perez,Medium,,,,,,879
Michael Schumacher,Hard (5),Hard (3),Intermediate (9),Hard (37),Intermediate (17),,879
Kamui Kobayashi,Hard (8),Intermediate (10),Hard (36),Intermediate (17),,,879
Daniel Ricciardo,Medium (9),Intermediate (10),Hard (32),Hard (5),Intermediate (5),Wet (9),879
Pastor Maldonado,Medium (1),,,,,,879
Jean-Eric Vergne,Medium (15),Intermediate (5),Hard (9),Hard (27),Intermediate (15),,879
Romain Grosjean,Hard (5),,,,,,879
Vitaly Petrov,Medium (14),Intermediate (5),Hard (35),Intermediate (16),,,879
